id,icao_24bit,heading,altitude,ground_speed,squawk,aircraft_code,registration,time,origin_airport_iata,destination_airport_iata,number,airline_iata,on_ground,vertical_speed,callsign,airline_icao
3457aadf,780831,313,22950,393,,A320,B-6847,1710304791,HAK,TFU,CA2700,CA,0,1600,CCA2700,CCA
34576add,7804EA,183,32100,447,,A321,B-6386,1710304799,HRB,TFU,CA2730,CA,0,0,CCA2730,CCA
3457a27a,780D82,275,34100,358,,B738,B-1763,1710304796,XMN,TFU,CA2760,CA,0,0,CCA2760,CCA
3457a482,780099,358,31100,431,,B738,B-5793,1710304795,CAN,TSN,CA2802,CA,0,0,CCA2802,CCA
34579563,7806BF,346,25600,402,,B738,B-5447,1710304799,SHA,TSN,CA2826,CA,0,0,CCA2826,CCA
345789b0,7800BA,356,27600,427,,B737,B-5213,1710304799,XMN,TSN,CA2838,CA,0,0,CCA2838,CCA
34579bbe,780253,339,23600,398,,B737,B-5227,1710304796,HGH,TSN,CA2846,CA,0,0,CCA2846,CCA
34579f0c,780FDC,26,31100,448,,B738,B-7890,1710304798,TFU,TSN,CA2854,CA,0,0,CCA2854,CCA
345799dd,780911,17,33100,425,,B738,B-5696,1710304799,CKG,TSN,CA2862,CA,0,0,CCA2862,CCA
3457abdc,780255,237,23600,361,,B737,B-5229,1710304795,WMT,KMG,CA2871,CA,0,0,CCA2871,CCA
3457a7cf,780B5B,187,23050,383,,B738,B-5849,1710304799,TSN,HAK,CA2883,CA,0,0,CCA2883,CCA
34579af3,780647,90,31100,481,,B738,B-5518,1710304797,LHW,TSN,CA2892,CA,0,0,CCA2892,CCA
34575c1e,7807C9,95,0,10,,B738,B-5621,1710304797,TSN,NNG,CA2905,CA,1,0,CCA2905,CCA
34578821,781326,357,32100,436,,B738,B-1219,1710304796,FOC,TSN,CA2912,CA,0,0,CCA2912,CCA
34579eb7,780762,244,23600,363,,B738,B-5585,1710304796,TSN,XIY,CA2915,CA,0,-64,CCA2915,CCA
3457a487,7805EE,209,30100,427,,B738,B-5495,1710304795,CGQ,TSN,CA2922,CA,0,0,CCA2922,CCA
34576af7,78090D,162,34000,444,,A320,B-6941,1710304795,TFU,SIN,CA403,CA,0,0,CCA403,CCA
34578ec3,78028B,334,34100,425,,A332,B-6071,1710304796,SYX,CTU,CA4036,CA,0,0,CCA4036,CCA
34578aad,798039,221,32100,425,,A319,B-6038,1710304799,CGQ,CTU,CA4040,CA,0,0,CCA4040,CCA
34578797,78026E,220,27600,414,,A332,B-6070,1710304797,TSN,CTU,CA4046,CA,0,0,CCA4046,CCA
3457881f,7804E7,214,8775,213,,A321,B-6382,1710304795,CGO,TFU,CA4050,CA,0,-128,CCA4050,CCA
3457a670,781BB2,230,1925,145,,A20N,B-324H,1710304763,SHE,CTU,CA4052,CA,0,2560,CCA4052,CCA
3457a6af,781FB2,206,38100,454,,A359,B-32EZ,1710304791,PEK,CTU,CA4114,CA,0,-64,CCA4114,CCA
34578314,781FE8,44,17700,330,,A20N,B-32FJ,1710304799,CTU,PEK,CA4115,CA,0,64,CCA4115,CCA
34578b6f,781C3F,221,32100,401,,A21N,B-325N,1710304798,PEK,CTU,CA4120,CA,0,0,CCA4120,CCA
345769f7,780ACF,190,32025,452,,A320,B-9925,1710304798,TFU,HKT,CA413,CA,0,0,CCA413,CCA
34579c1b,780528,243,32100,380,,B738,B-5425,1710304795,PEK,CKG,CA4132,CA,0,0,CCA4132,CCA
345796a1,7804BB,58,33100,493,,B738,B-5398,1710304795,CKG,PEK,CA4135,CA,0,0,CCA4135,CCA
3457af5e,780C42,352,2400,176,,B738,B-1959,1710304779,PEK,CKG,CA4138,CA,0,1344,CCA4138,CCA
34579215,7808CA,198,32100,433,,B738,B-5682,1710304797,PEK,CKG,CA4148,CA,0,0,CCA4148,CCA
34579994,7804E9,274,27600,389,,A321,B-6385,1710304791,PEK,KWE,CA4162,CA,0,0,CCA4162,CCA
3457969f,781B59,184,36100,437,,A20N,B-322W,1710304799,PEK,KMG,CA4172,CA,0,0,CCA4172,CCA
34579d4e,780761,128,33100,520,,B738,B-5583,1710304799,CKG,HKG,CA419,CA,0,0,CCA419,CCA
345796b6,7817F7,128,31100,457,,A21N,B-30C6,1710304799,URC,CTU,CA4202,CA,0,0,CCA4202,CCA
34579705,798037,256,6775,212,,A319,B-6036,1710304795,XNN,CTU,CA4212,CA,0,0,CCA4212,CCA
34577f21,781FE6,262,25600,407,,A20N,B-32FG,1710304799,HFE,CTU,CA4232,CA,0,0,CCA4232,CCA
3456d888,78115B,148,39000,477,,A333,B-8383,1710304796,LHR,TFU,CA424,CA,0,0,CCA424,CCA
3457a34c,781CE4,306,27600,381,,A21N,B-327T,1710304799,CAN,CTU,CA4306,CA,0,0,CCA4306,CCA
3457aa7e,780320,161,31650,487,,B738,B-5329,1710304795,,,,,0,1728,CCA4329,CCA
3457a248,7807CB,6,27600,443,,A320,B-6822,1710304799,NNG,CTU,CA4332,CA,0,0,CCA4332,CCA
3457a610,780CB9,305,25600,339,,A333,B-5956,1710304791,SZX,CTU,CA4338,CA,0,-64,CCA4338,CCA
34577904,780490,196,1550,152,,B738,B-5390,1710304731,SZX,CKG,CA4344,CA,0,-640,CCA4344,CCA
34564324,7811A2,174,35975,479,,B789,B-1466,1710304796,CKG,BUD,CA435,CA,0,192,CCA435,CCA
34576d7a,780069,273,36100,324,,A319,B-6047,1710304795,TFU,KTM,CA437,CA,0,0,CCA437,CCA
34578876,780529,359,21700,400,,B738,B-5426,1710304791,SYX,CKG,CA4374,CA,0,0,CCA4374,CCA
345788b3,7809A3,4,8750,300,,A320,B-6967,1710304795,GYS,CAN,CA4378,CA,0,64,CCA4378,CCA
34577edb,7808AA,101,29475,528,,B738,B-5679,1710304799,CKG,ICN,CA439,CA,0,0,CCA439,CCA
3457a47b,781D48,266,25600,406,,A21N,B-328N,1710304799,WUH,CTU,CA4398,CA,0,0,CCA4398,CCA
34579fcc,781DD6,280,23600,387,,A21N,B-32A1,1710304799,CSX,CTU,CA4400,CA,0,0,CCA4400,CCA
3457a891,7802D4,77,39100,596,,A332,B-6081,1710304799,LXA,CTU,CA4402,CA,0,0,CCA4402,CCA
3457a20e,780279,268,33800,308,,A319,B-6226,1710304795,CTU,LXA,CA4405,CA,0,1024,CCA4405,CCA
34578c32,78028C,196,4025,175,,A332,B-6072,1710304798,LXA,CKG,CA4419,CA,0,-896,CCA4419,CCA
345791b1,780492,212,30100,427,,B738,B-5392,1710304791,CKG,SIN,CA449,CA,0,0,CCA449,CCA
345795e0,781642,239,38100,355,,A359,B-307C,1710304793,PVG,CTU,CA4504,CA,0,0,CCA4504,CCA
345790d6,780D8C,329,0,8,,A319,B-6468,1710304797,CTU,NKG,CA4505,CA,1,0,CCA4505,CCA
345781e1,781E4F,227,30100,394,,A21N,B-32C9,1710304795,TAO,CTU,CA4512,CA,0,64,CCA4512,CCA
3457a50a,780703,252,38100,352,,A333,B-6530,1710304797,SHA,CTU,CA4516,CA,0,0,CCA4516,CCA
34579d1f,781DD8,247,30100,372,,A20N,B-32A3,1710304797,HGH,CTU,CA4520,CA,0,0,CCA4520,CCA
34578eb7,78027B,76,20700,440,,A319,B-6228,1710304795,CTU,KHN,CA4521,CA,0,0,CCA4521,CCA
3457aeec,781C6F,295,6425,196,,A21N,B-326C,1710304797,NKG,CTU,CA4524,CA,0,2432,CCA4524,CCA
3457923a,781CE3,261,30100,350,,A21N,B-327S,1710304795,NGB,CTU,CA4530,CA,0,0,CCA4530,CCA
345781fe,780101,165,22600,420,,A333,B-6523,1710304798,CTU,XMN,CA4539,CA,0,0,CCA4539,CCA
34579e1f,7811A5,239,30100,413,,B789,B-1469,1710304793,SHA,CKG,CA4544,CA,0,-64,CCA4544,CCA
